interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
5HT_HTR7	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR7	1	1
5HT_SLC6A4	Neurotransmitter	ligand-uptake	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	SLC6A4	1	1
DA_DRD1	Neurotransmitter	ligand-receptor	TH-DDC-SLC18A1-SLC18A2	1-2-3-3	1-1-1	DRD1	1	1
DA_DRD5	Neurotransmitter	ligand-receptor	TH-DDC-SLC18A1-SLC18A2	1-2-3-3	1-1-1	DRD5	1	1
DA_DRD2	Neurotransmitter	ligand-receptor	TH-DDC-SLC18A1-SLC18A2	1-2-3-3	1-1-1	DRD2	1	1
DA_DRD3	Neurotransmitter	ligand-receptor	TH-DDC-SLC18A1-SLC18A2	1-2-3-3	1-1-1	DRD3	1	1
DA_DRD4	Neurotransmitter	ligand-receptor	TH-DDC-SLC18A1-SLC18A2	1-2-3-3	1-1-1	DRD4	1	1
DA_SLC6A3	Neurotransmitter	ligand-uptake	TH-DDC-SLC18A1-SLC18A2	1-2-3-3	1-1-1	SLC6A3	1	1
DA_COMT	Neurotransmitter	ligand-degradation	TH-DDC-SLC18A1-SLC18A2	1-2-3-3	1-1-1	COMT	1	1
Epi_ADRA1A	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRA1A	1	1
Epi_ADRA1B	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRA1B	1	1
Epi_ADRA1D	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRA1D	1	1
Epi_ADRA2A	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRA2A	1	1
Epi_ADRA2B	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRA2B	1	1
Epi_ADRA2C	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRA2C	1	1
Epi_ADRB1	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRB1	1	1
Epi_ADRB2	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRB2	1	1
Epi_ADRB3	Neurotransmitter	ligand-receptor	TH-DDC-DBH-PNMT-SLC18A1-SLC18A2	1-2-3-4-5-5	1-1-1-1-1	ADRB3	1	1
NE_ADRA1A	Neurotransmitter	ligand-receptor	TH-DDC-DBH-SLC18A1-SLC18A2	1-2-3-4-4	1-1-1-1	ADRA1A	1	1
NE_ADRA1B	Neurotransmitter	ligand-receptor	TH-DDC-DBH-SLC18A1-SLC18A2	1-2-3-4-4	1-1-1-1	ADRA1B	1	1
NE_ADRA1D	Neurotransmitter	ligand-receptor	TH-DDC-DBH-SLC18A1-SLC18A2	1-2-3-4-4	1-1-1-1	ADRA1D	1	1
