Source,Receiver,Ligand,Target
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 3-4 IT neurons,Glu,GRM8
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 3-4 IT neurons,Glu,GRM8
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 3-4 IT neurons,Glu,GRM8
Inhibitory SST neurons,Excitatory Layer 5-6 CT and NP neurons,SST,SSTR2
Inhibitory SST neurons,Excitatory Layer 5-6 CT and NP neurons,CORT,SSTR2
Excitatory Layer 2-3 IT neurons I,Inhibitory LAMP5 neurons,ADCYAP1,ADCYAP1R1
Excitatory Layer 2-3 IT neurons II,Inhibitory LAMP5 neurons,ADCYAP1,ADCYAP1R1
Excitatory Layer 3-4 IT neurons,Inhibitory LAMP5 neurons,ADCYAP1,ADCYAP1R1
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons I,Glu,Kainate_2_4_complex
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons I,Glu,Kainate_2_4_complex
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons I,Glu,Kainate_2_4_complex
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons I,Glu,Kainate_2_4_complex
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons I,Glu,Kainate_2_4_complex
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons I,Glu,Kainate_2_4_complex
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons I,Glu,Kainate_2_4_complex
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Inhibitory VIP neurons,Excitatory Layer 5-6 IT neurons II,CO,GUCY1A2
Inhibitory LAMP5 neurons,Excitatory Layer 5-6 IT neurons II,NO,GUCY1A2
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons II,NO,GUCY1A2
Inhibitory SST neurons,Excitatory Layer 5-6 IT neurons II,NO,GUCY1A2
Oligodendrocyte progenitor cells,Excitatory Layer 5-6 IT neurons II,NO,GUCY1A2
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Excitatory Layer 3-4 IT neurons,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Excitatory Layer 3-6 IT neurons,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Inhibitory VIP neurons,Excitatory Layer 2-3 IT neurons I,CO,GUCY1B1
Inhibitory LAMP5 neurons,Excitatory Layer 2-3 IT neurons I,NO,GUCY1B1
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons I,NO,GUCY1B1
Inhibitory SST neurons,Excitatory Layer 2-3 IT neurons I,NO,GUCY1B1
Oligodendrocyte progenitor cells,Excitatory Layer 2-3 IT neurons I,NO,GUCY1B1
Astrocytes,Microglial cells,NRXN1,NLGN1
Endothelial and mural cells,Microglial cells,NRXN1,NLGN1
Excitatory Layer 2-3 IT neurons I,Microglial cells,NRXN1,NLGN1
Excitatory Layer 2-3 IT neurons II,Microglial cells,NRXN1,NLGN1
Excitatory Layer 3-4 IT neurons,Microglial cells,NRXN1,NLGN1
Excitatory Layer 3-6 IT neurons,Microglial cells,NRXN1,NLGN1
Excitatory Layer 5-6 CT and NP neurons,Microglial cells,NRXN1,NLGN1
Excitatory Layer 5-6 IT neurons I,Microglial cells,NRXN1,NLGN1
Excitatory Layer 5-6 IT neurons II,Microglial cells,NRXN1,NLGN1
Inhibitory LAMP5 neurons,Microglial cells,NRXN1,NLGN1
Inhibitory PVALB neurons,Microglial cells,NRXN1,NLGN1
Inhibitory SST neurons,Microglial cells,NRXN1,NLGN1
